query_french,select_label,where_label
Pourriez-vous m'indiquer les films où Keanu Reeves et Hugh Jackman sont présents ?,select=['titre'],where='((acteur = 'name' OR acteur = 'name' OR acteur = 'name')) AND ((acteur = 'name' OR acteur = 'name' OR acteur = 'name'));'
J'aimerais voir quels films ont Keanu Reeves et Hugh Jackman au casting.,select=['titre'],where='((acteur = 'name' OR acteur = 'name' OR acteur = 'name')) AND ((acteur = 'name' OR acteur = 'name' OR acteur = 'name'));'
Veuillez me montrer l'année des films dont le titre est The Golden Truth Code.,select=['annee'],where='titre = 'name';'
Peux-tu me dire l'année des films intitulés The Golden Truth Code ?,select=['annee'],where='titre = 'name';'
Pourrais-je savoir quelle année a été produite le film The Golden Truth Code ?,select=['annee'],where='titre = 'name';'
"Pouvez-vous m'indiquer l'année des films avec le titre The Golden Truth Code, s'il vous plaît ?",select=['annee'],where='titre = 'name';'
Je voudrais connaître l'année des films qui s'appellent The Golden Truth Code.,select=['annee'],where='titre = 'name';'
Est-ce que vous pourriez me donner l'année des films portant le titre The Golden Truth Code ?,select=['annee'],where='titre = 'name';'
Veuillez me montrer le titre des films où Hugh Jackman joue et dont le genre est la science-fiction.,select=['titre'],where='(acteur = 'name' OR acteur = 'name' OR acteur = 'name') AND genre = 'name';'
Pouvez-vous me donner le titre des films avec Hugh Jackman dans le genre science-fiction ?,select=['titre'],where='(acteur = 'name' OR acteur = 'name' OR acteur = 'name') AND genre = 'name';'
Pourriez-vous me montrer les titres des films où Hugh Jackman apparaît et qui sont classés en science-fiction ?,select=['titre'],where='(acteur = 'name' OR acteur = 'name' OR acteur = 'name') AND genre = 'name';'
"Montrez-moi les films de science-fiction avec Hugh Jackman, s'il vous plaît.",select=['titre'],where='(acteur = 'name' OR acteur = 'name' OR acteur = 'name') AND genre = 'name';'
J'aimerais connaître les titres de films de science-fiction mettant en vedette Hugh Jackman.,select=['titre'],where='(acteur = 'name' OR acteur = 'name' OR acteur = 'name') AND genre = 'name';'
Quels sont les titres des films de science-fiction avec Hugh Jackman ?,select=['titre'],where='(acteur = 'name' OR acteur = 'name' OR acteur = 'name') AND genre = 'name';'
Veuillez me montrer le titre des films où Johnny Depp joue et Emily Blunt joue.,select=['titre'],where='((acteur = 'name' OR acteur = 'name' OR acteur = 'name')) AND ((acteur = 'name' OR acteur = 'name' OR acteur = 'name'));'
Pourriez-vous me donner le titre des films avec Johnny Depp et Emily Blunt ?,select=['titre'],where='((acteur = 'name' OR acteur = 'name' OR acteur = 'name')) AND ((acteur = 'name' OR acteur = 'name' OR acteur = 'name'));'
Je souhaiterais connaître les titres des films dans lesquels jouent Johnny Depp et Emily Blunt.,select=['titre'],where='((acteur = 'name' OR acteur = 'name' OR acteur = 'name')) AND ((acteur = 'name' OR acteur = 'name' OR acteur = 'name'));'
Peux-tu m'indiquer quels films feature Johnny Depp et Emily Blunt ?,select=['titre'],where='((acteur = 'name' OR acteur = 'name' OR acteur = 'name')) AND ((acteur = 'name' OR acteur = 'name' OR acteur = 'name'));'
Quels sont les titres des films comprenant Johnny Depp et Emily Blunt ?,select=['titre'],where='((acteur = 'name' OR acteur = 'name' OR acteur = 'name')) AND ((acteur = 'name' OR acteur = 'name' OR acteur = 'name'));'
J'aimerais voir la liste des films où figurent Johnny Depp et Emily Blunt.,select=['titre'],where='((acteur = 'name' OR acteur = 'name' OR acteur = 'name')) AND ((acteur = 'name' OR acteur = 'name' OR acteur = 'name'));'
Veuillez me montrer le réalisateur des films intitulés The Last Memory Project.,select=['realisateur'],where='titre = 'name';'
Peux-tu me dire qui est le réalisateur des films appelés The Last Memory Project ?,select=['realisateur'],where='titre = 'name';'
Pourrais-je connaître le nom du réalisateur des films qui s'intitulent The Last Memory Project ?,select=['realisateur'],where='titre = 'name';'
J'aimerais savoir qui a réalisé les films qui portent le titre The Last Memory Project.,select=['realisateur'],where='titre = 'name';'
Serait-il possible de me montrer le réalisateur des films nommés The Last Memory Project ?,select=['realisateur'],where='titre = 'name';'
Je voudrais savoir qui est le réalisateur des films dont le titre est The Last Memory Project.,select=['realisateur'],where='titre = 'name';'
Veuillez me montrer le directeur des films intitulés The Last Memory Saga.,select=['realisateur'],where='titre = 'name';'
Peux-tu me dire qui est le réalisateur des films nommés The Last Memory Saga ?,select=['realisateur'],where='titre = 'name';'
Pourrais-tu me révéler le nom du réalisateur des films intitulés The Last Memory Saga ?,select=['realisateur'],where='titre = 'name';'
J'aimerais connaître le réalisateur des œuvres qui s'appellent The Last Memory Saga.,select=['realisateur'],where='titre = 'name';'
Est-ce que tu pourrais me montrer qui est le directeur derrière les films appelés The Last Memory Saga ?,select=['realisateur'],where='titre = 'name';'
Je voudrais savoir qui dirige les films mentionnés sous le titre The Last Memory Saga.,select=['realisateur'],where='titre = 'name';'
Veuillez me montrer les acteurs des films dont le genre est Horreur.,"select=['acteur1', 'acteur2', 'acteur3']",where='genre = 'name';'
Pouvez-vous me donner les noms des acteurs des films de genre Horreur ?,"select=['acteur1', 'acteur2', 'acteur3']",where='genre = 'name';'
"Montrez-moi les acteurs des films classés Horreur, s'il vous plaît.","select=['acteur1', 'acteur2', 'acteur3']",where='genre = 'name';'
J'aimerais voir les acteurs des films qui appartiennent au genre Horreur.,"select=['acteur1', 'acteur2', 'acteur3']",where='genre = 'name';'
Pourriez-vous me communiquer les acteurs des films du genre Horreur ?,"select=['acteur1', 'acteur2', 'acteur3']",where='genre = 'name';'
Je souhaiterais connaître les acteurs des films qui sont dans la catégorie Horreur.,"select=['acteur1', 'acteur2', 'acteur3']",where='genre = 'name';'
Veuillez me montrer le réalisateur des films dont le titre est The Frozen Memory Legacy.,select=['realisateur'],where='titre = 'name';'
Pourriez-vous m'indiquer qui est le réalisateur des films intitulés The Frozen Memory Legacy ?,select=['realisateur'],where='titre = 'name';'
Je souhaiterais savoir qui a réalisé les films ayant pour titre The Frozen Memory Legacy.,select=['realisateur'],where='titre = 'name';'
Peux-tu me dire qui est le réalisateur des films appelés The Frozen Memory Legacy ?,select=['realisateur'],where='titre = 'name';'
Est-ce que quelqu'un peut me dire qui est le directeur des films nommés The Frozen Memory Legacy ?,select=['realisateur'],where='titre = 'name';'
"Qui est le réalisateur du film The Frozen Memory Legacy, s'il vous plaît ?",select=['realisateur'],where='titre = 'name';'
Veuillez me montrer l'année des films dont le titre est The Frozen Mission Project.,select=['annee'],where='titre = 'name';'
Pouvez-vous m'indiquer l'année des films intitulés The Frozen Mission Project ?,select=['annee'],where='titre = 'name';'
Pourriez-vous me dire quelle année correspond aux films qui s'appellent The Frozen Mission Project ?,select=['annee'],where='titre = 'name';'
J'aimerais savoir quelle est l'année des films qui portent le titre The Frozen Mission Project.,select=['annee'],where='titre = 'name';'
Est-ce que vous pourriez me fournir l'année des films nommés The Frozen Mission Project ?,select=['annee'],where='titre = 'name';'
Je souhaiterais connaître l'année des films dont le titre est The Frozen Mission Project.,select=['annee'],where='titre = 'name';'
Veuillez me montrer le réalisateur des films intitulés The Infinite Empire Story.,select=['realisateur'],where='titre = 'name';'
Pourriez-vous me donner le nom du réalisateur des films appelés The Infinite Empire Story ?,select=['realisateur'],where='titre = 'name';'
Montrez-moi s'il vous plaît le réalisateur des films dont le titre est The Infinite Empire Story.,select=['realisateur'],where='titre = 'name';'
Je voudrais savoir qui est le réalisateur des films intitulés The Infinite Empire Story.,select=['realisateur'],where='titre = 'name';'
Peux-tu me dire qui a réalisé les films qui se nomment The Infinite Empire Story ?,select=['realisateur'],where='titre = 'name';'
Dites-moi qui est le réalisateur des films portant le titre The Infinite Empire Story.,select=['realisateur'],where='titre = 'name';'
Veuillez me montrer l'année des films intitulés The Dark Promise Chronicles.,select=['annee'],where='titre = 'name';'
Pouvez-vous me dire l'année des films appelés The Dark Promise Chronicles ?,select=['annee'],where='titre = 'name';'
Serait-il possible d'obtenir l'année des films qui s'appellent The Dark Promise Chronicles ?,select=['annee'],where='titre = 'name';'
J'aimerais connaître l'année des films qui portent le titre The Dark Promise Chronicles.,select=['annee'],where='titre = 'name';'
Je vous prie de bien vouloir indiquer l'année des films nommés The Dark Promise Chronicles.,select=['annee'],where='titre = 'name';'
Pourriez-vous me communiquer l'année des films intitulés The Dark Promise Chronicles ?,select=['annee'],where='titre = 'name';'
Veuillez me montrer le titre des films dans lesquels Tom Hanks et Natalie Portman jouent.,select=['titre'],where='((acteur = 'name' OR acteur = 'name' OR acteur = 'name')) AND ((acteur = 'name' OR acteur = 'name' OR acteur = 'name'));'
Montrez-moi les titres des films avec Tom Hanks et Natalie Portman.,select=['titre'],where='((acteur = 'name' OR acteur = 'name' OR acteur = 'name')) AND ((acteur = 'name' OR acteur = 'name' OR acteur = 'name'));'
Pourriez-vous me donner les titres des films où Tom Hanks et Natalie Portman apparaissent ?,select=['titre'],where='((acteur = 'name' OR acteur = 'name' OR acteur = 'name')) AND ((acteur = 'name' OR acteur = 'name' OR acteur = 'name'));'
Pouvez-vous me montrer les films dans lesquels jouent Tom Hanks et Natalie Portman ?,select=['titre'],where='((acteur = 'name' OR acteur = 'name' OR acteur = 'name')) AND ((acteur = 'name' OR acteur = 'name' OR acteur = 'name'));'
Avez-vous les titres des films avec Tom Hanks et Natalie Portman ?,select=['titre'],where='((acteur = 'name' OR acteur = 'name' OR acteur = 'name')) AND ((acteur = 'name' OR acteur = 'name' OR acteur = 'name'));'
Je voudrais savoir quels films comportent à la fois Tom Hanks et Natalie Portman.,select=['titre'],where='((acteur = 'name' OR acteur = 'name' OR acteur = 'name')) AND ((acteur = 'name' OR acteur = 'name' OR acteur = 'name'));'
Veuillez me montrer le réalisateur des films dont le titre est The Infinite Echo Affair.,select=['realisateur'],where='titre = 'name';'
Pourriez-vous me dire qui est le réalisateur des films intitulés The Infinite Echo Affair ?,select=['realisateur'],where='titre = 'name';'
J'aimerais connaître le réalisateur des films portant le nom de The Infinite Echo Affair.,select=['realisateur'],where='titre = 'name';'
Peux-tu m'indiquer le nom du réalisateur des films qui s'appellent The Infinite Echo Affair ?,select=['realisateur'],where='titre = 'name';'
"Qui est le réalisateur des films avec le titre The Infinite Echo Affair, s'il te plaît ?",select=['realisateur'],where='titre = 'name';'
Merci de me montrer qui réalise les films intitulés The Infinite Echo Affair.,select=['realisateur'],where='titre = 'name';'
Veuillez me montrer le titre des films où Joaquin Phoenix joue et Mark Ruffalo joue.,select=['titre'],where='((acteur = 'name' OR acteur = 'name' OR acteur = 'name')) AND ((acteur = 'name' OR acteur = 'name' OR acteur = 'name'));'
Pouvez-vous me donner les titres des films avec Joaquin Phoenix et Mark Ruffalo ?,select=['titre'],where='((acteur = 'name' OR acteur = 'name' OR acteur = 'name')) AND ((acteur = 'name' OR acteur = 'name' OR acteur = 'name'));'
Je souhaiterais connaître les films dans lesquels Joaquin Phoenix et Mark Ruffalo apparaissent.,select=['titre'],where='((acteur = 'name' OR acteur = 'name' OR acteur = 'name')) AND ((acteur = 'name' OR acteur = 'name' OR acteur = 'name'));'
Pourriez-vous me dire quels films comportent Joaquin Phoenix et Mark Ruffalo ?,select=['titre'],where='((acteur = 'name' OR acteur = 'name' OR acteur = 'name')) AND ((acteur = 'name' OR acteur = 'name' OR acteur = 'name'));'
J'aimerais avoir la liste des films où Joaquin Phoenix et Mark Ruffalo se produisent.,select=['titre'],where='((acteur = 'name' OR acteur = 'name' OR acteur = 'name')) AND ((acteur = 'name' OR acteur = 'name' OR acteur = 'name'));'
Est-ce que vous pourriez me montrer les films dans lesquels Joaquin Phoenix et Mark Ruffalo sont à l'affiche ?,select=['titre'],where='((acteur = 'name' OR acteur = 'name' OR acteur = 'name')) AND ((acteur = 'name' OR acteur = 'name' OR acteur = 'name'));'
Veuillez me montrer les acteurs des films dont l'année est 2024.,"select=['acteur1', 'acteur2', 'acteur3']",where='annee = year;'
"Montrez-moi, s'il vous plaît, les acteurs des films de 2024.","select=['acteur1', 'acteur2', 'acteur3']",where='annee = year;'
Pouvez-vous me donner les acteurs des films de l'année 2024 ?,"select=['acteur1', 'acteur2', 'acteur3']",where='annee = year;'
Je voudrais connaître les acteurs des films de 2024.,"select=['acteur1', 'acteur2', 'acteur3']",where='annee = year;'
Peux-tu me dire qui sont les acteurs des films sortis en 2024 ?,"select=['acteur1', 'acteur2', 'acteur3']",where='annee = year;'
"Les acteurs des films de 2024, pourrais-tu me les présenter ?","select=['acteur1', 'acteur2', 'acteur3']",where='annee = year;'
Veuillez me montrer toutes les informations des films où l'année est entre 1968 et 2014.,select=['*'],where='annee BETWEEN year AND year;'
"Montrez-moi toutes les infos sur les films sortis entre 1968 et 2014, s'il vous plaît.",select=['*'],where='annee BETWEEN year AND year;'
Je voudrais voir toutes les informations concernant les films de 1968 à 2014.,select=['*'],where='annee BETWEEN year AND year;'
Pourriez-vous m'afficher toutes les données des films des années 1968 à 2014 ?,select=['*'],where='annee BETWEEN year AND year;'
Merci de me fournir toutes les informations sur les films dont les années se situent entre 1968 et 2014.,select=['*'],where='annee BETWEEN year AND year;'
J'aimerais obtenir toutes les infos des films allant de 1968 à 2014.,select=['*'],where='annee BETWEEN year AND year;'
Veuillez me montrer l'année du film dont le titre est The Frozen Secret Game.,select=['annee'],where='titre = 'name';'
Pourriez-vous m'indiquer l'année du film intitulé The Frozen Secret Game ?,select=['annee'],where='titre = 'name';'
"Dites-moi, quelle est l'année de sortie du film The Frozen Secret Game ?",select=['annee'],where='titre = 'name';'
Je voudrais savoir en quelle année est sorti le film The Frozen Secret Game.,select=['annee'],where='titre = 'name';'
Est-ce que vous pourriez m'informer de l'année du film The Frozen Secret Game ?,select=['annee'],where='titre = 'name';'
"Je cherche l'année de sortie du film The Frozen Secret Game, pouvez-vous m'aider ?",select=['annee'],where='titre = 'name';'
Veuillez me montrer toutes les informations des films où l'année est comprise entre 2011 et 2017.,select=['*'],where='annee BETWEEN year AND year;'
Pourriez-vous me donner toutes les informations sur les films sortis entre 2011 et 2017 ?,select=['*'],where='annee BETWEEN year AND year;'
J'aimerais voir tous les détails des films sortis entre 2011 et 2017.,select=['*'],where='annee BETWEEN year AND year;'
Montrez-moi s'il vous plaît toutes les données relatives aux films de 2011 à 2017.,select=['*'],where='annee BETWEEN year AND year;'
Est-ce que vous pourriez afficher toutes les informations concernant les films entre 2011 et 2017 ?,select=['*'],where='annee BETWEEN year AND year;'
Merci de bien vouloir me fournir les infos des films dont l'année est comprise entre 2011 et 2017.,select=['*'],where='annee BETWEEN year AND year;'
Veuillez me montrer les titres des films dont le réalisateur est George Lucas.,select=['titre'],where='realisateur = 'name';'
Montrez-moi les titres des films réalisés par George Lucas.,select=['titre'],where='realisateur = 'name';'
Pourriez-vous me dire quels sont les films de George Lucas ?,select=['titre'],where='realisateur = 'name';'
Je voudrais connaître les titres des films du réalisateur George Lucas.,select=['titre'],where='realisateur = 'name';'
Pouvez-vous me donner la liste des films réalisés par George Lucas ?,select=['titre'],where='realisateur = 'name';'
"Quels sont les films réalisés par George Lucas, s'il vous plaît ?",select=['titre'],where='realisateur = 'name';'
Veuillez me montrer toutes les informations des films où l'année est comprise entre 2016 et 2029.,select=['*'],where='annee BETWEEN year AND year;'
Montrez-moi toutes les infos sur les films dont l'année se situe entre 2016 et 2029.,select=['*'],where='annee BETWEEN year AND year;'
Je voudrais voir toutes les données des films réalisés entre 2016 et 2029.,select=['*'],where='annee BETWEEN year AND year;'
Pourriez-vous me fournir toutes les informations sur les films de 2016 à 2029 ?,select=['*'],where='annee BETWEEN year AND year;'
Je recherche toutes les infos sur les films qui datent de 2016 à 2029.,select=['*'],where='annee BETWEEN year AND year;'
Merci de bien vouloir afficher toutes les informations concernant les films de l'année 2016 à 2029.,select=['*'],where='annee BETWEEN year AND year;'
Veuillez me montrer le réalisateur des films dont le titre est The Silent Shadow Game.,select=['realisateur'],where='titre = 'name';'
Peux-tu m'indiquer qui est le réalisateur des films appelés The Silent Shadow Game ?,select=['realisateur'],where='titre = 'name';'
J'aimerais savoir qui a réalisé les films intitulés The Silent Shadow Game.,select=['realisateur'],where='titre = 'name';'
Pourrais-je avoir le nom du réalisateur des films The Silent Shadow Game ?,select=['realisateur'],where='titre = 'name';'
Pouvez-vous me renseigner sur le réalisateur des films qui s'appellent The Silent Shadow Game ?,select=['realisateur'],where='titre = 'name';'
Je souhaiterais connaître le réalisateur des films dont le titre est The Silent Shadow Game.,select=['realisateur'],where='titre = 'name';'
Veuillez me montrer le réalisateur des films intitulés The Hidden Promise Game.,select=['realisateur'],where='titre = 'name';'
Pourriez-vous me dire qui est le réalisateur des films appelés The Hidden Promise Game ?,select=['realisateur'],where='titre = 'name';'
J'aimerais savoir qui a réalisé les films intitulés The Hidden Promise Game.,select=['realisateur'],where='titre = 'name';'
Pourriez-vous me donner le nom du réalisateur des films intitulés The Hidden Promise Game ?,select=['realisateur'],where='titre = 'name';'
Je souhaiterais connaître le réalisateur des films portant le titre The Hidden Promise Game.,select=['realisateur'],where='titre = 'name';'
"S'il vous plaît, indiquez-moi le réalisateur des films qui s'appellent The Hidden Promise Game.",select=['realisateur'],where='titre = 'name';'
Veuillez me montrer les titres des films où Christian Bale joue et Johnny Depp joue.,select=['titre'],where='((acteur = 'name' OR acteur = 'name' OR acteur = 'name')) AND ((acteur = 'name' OR acteur = 'name' OR acteur = 'name'));'
Pourriez-vous me donner les titres des films dans lesquels Christian Bale et Johnny Depp apparaissent ?,select=['titre'],where='((acteur = 'name' OR acteur = 'name' OR acteur = 'name')) AND ((acteur = 'name' OR acteur = 'name' OR acteur = 'name'));'
Serait-il possible d'obtenir les titres des films avec Christian Bale et Johnny Depp ?,select=['titre'],where='((acteur = 'name' OR acteur = 'name' OR acteur = 'name')) AND ((acteur = 'name' OR acteur = 'name' OR acteur = 'name'));'
Je veux voir les titres des films où Christian Bale et Johnny Depp jouent.,select=['titre'],where='((acteur = 'name' OR acteur = 'name' OR acteur = 'name')) AND ((acteur = 'name' OR acteur = 'name' OR acteur = 'name'));'
"Montrez-moi les titres des films avec Christian Bale et Johnny Depp, s'il vous plaît.",select=['titre'],where='((acteur = 'name' OR acteur = 'name' OR acteur = 'name')) AND ((acteur = 'name' OR acteur = 'name' OR acteur = 'name'));'
Quels films comportent les performances de Christian Bale et Johnny Depp ?,select=['titre'],where='((acteur = 'name' OR acteur = 'name' OR acteur = 'name')) AND ((acteur = 'name' OR acteur = 'name' OR acteur = 'name'));'
Veuillez me montrer les acteurs des films dont l'année est 2009.,"select=['acteur1', 'acteur2', 'acteur3']",where='annee = year;'
"Montrez-moi les acteurs des films de 2009, s'il vous plaît.","select=['acteur1', 'acteur2', 'acteur3']",where='annee = year;'
Pourriez-vous me donner les acteurs des films sortis en 2009 ?,"select=['acteur1', 'acteur2', 'acteur3']",where='annee = year;'
Je voudrais voir les acteurs des films de l'année 2009.,"select=['acteur1', 'acteur2', 'acteur3']",where='annee = year;'
Peux-tu me montrer les acteurs des films de 2009 ?,"select=['acteur1', 'acteur2', 'acteur3']",where='annee = year;'
Quels sont les acteurs des films sortis en 2009 ?,"select=['acteur1', 'acteur2', 'acteur3']",where='annee = year;'
Veuillez me montrer l'année des films dont le titre est The Broken Dream Story.,select=['annee'],where='titre = 'name';'
Pourriez-vous m'indiquer l'année des films intitulés The Broken Dream Story ?,select=['annee'],where='titre = 'name';'
Est-ce que vous pourriez me dire en quelle année sont sortis les films appelés The Broken Dream Story ?,select=['annee'],where='titre = 'name';'
J'aimerais savoir quelle est l'année des films portant le nom The Broken Dream Story.,select=['annee'],where='titre = 'name';'
Pouvez-vous me fournir l'année des films qui ont pour titre The Broken Dream Story ?,select=['annee'],where='titre = 'name';'
Je cherche à connaître l'année de sortie des films nommés The Broken Dream Story.,select=['annee'],where='titre = 'name';'
Veuillez me montrer le réalisateur des films dont le titre est The Infinite Promise Affair.,select=['realisateur'],where='titre = 'name';'
Pourriez-vous m'indiquer qui est le réalisateur des films intitulés The Infinite Promise Affair ?,select=['realisateur'],where='titre = 'name';'
J'aimerais savoir qui a réalisé le film The Infinite Promise Affair.,select=['realisateur'],where='titre = 'name';'
Est-ce que vous pouvez me dire qui est le réalisateur des films The Infinite Promise Affair ?,select=['realisateur'],where='titre = 'name';'
Pourriez-vous me dire qui est le réalisateur des films appelés The Infinite Promise Affair ?,select=['realisateur'],where='titre = 'name';'
Je souhaiterais connaître le nom du réalisateur des films ayant pour titre The Infinite Promise Affair.,select=['realisateur'],where='titre = 'name';'
Veuillez me montrer toutes les informations des films où l'année est entre 1978 et 2016.,select=['*'],where='annee BETWEEN year AND year;'
Montrez-moi s'il vous plaît toutes les informations des films dont l'année se situe entre 1978 et 2016.,select=['*'],where='annee BETWEEN year AND year;'
Pourriez-vous me fournir toutes les informations des films sortis entre 1978 et 2016 ?,select=['*'],where='annee BETWEEN year AND year;'
J'aimerais voir toutes les informations concernant les films de 1978 à 2016.,select=['*'],where='annee BETWEEN year AND year;'
Pouvez-vous afficher toutes les infos sur les films dont l'année de sortie va de 1978 à 2016 ?,select=['*'],where='annee BETWEEN year AND year;'
Merci de me montrer toutes les informations sur les films sortis entre 1978 et 2016.,select=['*'],where='annee BETWEEN year AND year;'
Veuillez me montrer le titre des films dans lesquels Charlize Theron et Gal Gadot jouent.,select=['titre'],where='((acteur = 'name' OR acteur = 'name' OR acteur = 'name')) AND ((acteur = 'name' OR acteur = 'name' OR acteur = 'name'));'
Pourriez-vous me donner les titres des films avec Charlize Theron et Gal Gadot ?,select=['titre'],where='((acteur = 'name' OR acteur = 'name' OR acteur = 'name')) AND ((acteur = 'name' OR acteur = 'name' OR acteur = 'name'));'
Je voudrais connaître les titres des films où Charlize Theron et Gal Gadot apparaissent.,select=['titre'],where='((acteur = 'name' OR acteur = 'name' OR acteur = 'name')) AND ((acteur = 'name' OR acteur = 'name' OR acteur = 'name'));'
Pouvez-vous m'indiquer les films dans lesquels Charlize Theron et Gal Gadot ont des rôles ?,select=['titre'],where='((acteur = 'name' OR acteur = 'name' OR acteur = 'name')) AND ((acteur = 'name' OR acteur = 'name' OR acteur = 'name'));'
"Je recherche les titres des films avec Charlize Theron et Gal Gadot, s'il vous plaît.",select=['titre'],where='((acteur = 'name' OR acteur = 'name' OR acteur = 'name')) AND ((acteur = 'name' OR acteur = 'name' OR acteur = 'name'));'
"Pourriez-vous, s'il vous plaît, m'indiquer les films dans lesquels on peut voir Charlize Theron et Gal Gadot ?",select=['titre'],where='((acteur = 'name' OR acteur = 'name' OR acteur = 'name')) AND ((acteur = 'name' OR acteur = 'name' OR acteur = 'name'));'
Veuillez me montrer l'année des films dont le titre est The Frozen Truth Game.,select=['annee'],where='titre = 'name';'
Pourriez-vous m'indiquer l'année des films intitulés The Frozen Truth Game ?,select=['annee'],where='titre = 'name';'
Est-ce que vous pouvez me dire en quelle année le film The Frozen Truth Game est sorti ?,select=['annee'],where='titre = 'name';'
Pourriez-vous s'il vous plaît me donner l'année de sortie du film The Frozen Truth Game ?,select=['annee'],where='titre = 'name';'
Je veux savoir quelle est l'année du film The Frozen Truth Game.,select=['annee'],where='titre = 'name';'
Pouvez-vous me préciser l'année du film The Frozen Truth Game ?,select=['annee'],where='titre = 'name';'
Veuillez me montrer les titres des films dans lesquels Meryl Streep et Denzel Washington jouent.,select=['titre'],where='((acteur = 'name' OR acteur = 'name' OR acteur = 'name')) AND ((acteur = 'name' OR acteur = 'name' OR acteur = 'name'));'
Pourriez-vous m'indiquer les titres des films avec Meryl Streep et Denzel Washington ?,select=['titre'],where='((acteur = 'name' OR acteur = 'name' OR acteur = 'name')) AND ((acteur = 'name' OR acteur = 'name' OR acteur = 'name'));'
J'aimerais savoir quels films mettent en scène Meryl Streep et Denzel Washington.,select=['titre'],where='((acteur = 'name' OR acteur = 'name' OR acteur = 'name')) AND ((acteur = 'name' OR acteur = 'name' OR acteur = 'name'));'
Pouvez-vous me donner les titres des productions où Meryl Streep et Denzel Washington apparaissent ?,select=['titre'],where='((acteur = 'name' OR acteur = 'name' OR acteur = 'name')) AND ((acteur = 'name' OR acteur = 'name' OR acteur = 'name'));'
Je cherche les films dans lesquels Meryl Streep et Denzel Washington ont un rôle.,select=['titre'],where='((acteur = 'name' OR acteur = 'name' OR acteur = 'name')) AND ((acteur = 'name' OR acteur = 'name' OR acteur = 'name'));'
Quels sont les titres des films où Meryl Streep et Denzel Washington jouent ?,select=['titre'],where='((acteur = 'name' OR acteur = 'name' OR acteur = 'name')) AND ((acteur = 'name' OR acteur = 'name' OR acteur = 'name'));'
Veuillez me montrer le réalisateur des films intitulés The Last Dream Code.,select=['realisateur'],where='titre = 'name';'
Pouvez-vous m'indiquer qui est le réalisateur des films qui s'appellent The Last Dream Code ?,select=['realisateur'],where='titre = 'name';'
Pourriez-vous me dire qui a réalisé le film intitulé The Last Dream Code ?,select=['realisateur'],where='titre = 'name';'
Je voudrais savoir qui est le réalisateur des films nommés The Last Dream Code.,select=['realisateur'],where='titre = 'name';'
Est-ce que vous pourriez me donner le nom du réalisateur pour les films intitulés The Last Dream Code ?,select=['realisateur'],where='titre = 'name';'
Qui est le réalisateur des œuvres dont le titre est The Last Dream Code ?,select=['realisateur'],where='titre = 'name';'
Veuillez me montrer toutes les informations sur les films dont l'année est entre 1974 et 2015.,select=['*'],where='annee BETWEEN year AND year;'
Pourriez-vous me fournir toutes les informations sur les films sortis entre 1974 et 2015 ?,select=['*'],where='annee BETWEEN year AND year;'
Je souhaiterais voir toutes les données concernant les films sortis entre 1974 et 2015.,select=['*'],where='annee BETWEEN year AND year;'
